Deputado,Fala
Altineu Côrtes,"['Respeitando', 'sentimento', 'cada', 'brasileiro', 'brasileiros', 'humildes', 'sofrendo', 'cidades', 'Itaboraí', 'São', 'Gonçalo', 'Niterói', 'desejo', 'maioria', 'eleitores', 'derrubar', 'muro']"
Arolde de Oliveira,"['Presidente', 'esperança', 'amor', 'muita', 'fé', 'restauração', 'povo', 'quer', 'vote', 'povo', 'Rio', 'Janeiro', 'amo', 'quer', 'vote', 'família', 'orientou', 'votar', 'Presidente']"
Aureo,"['Feliz', 'nação', 'cujo', 'Deus', 'Senhor', 'Presidente', 'acredito', 'nisso', 'Como', 'Parlamentar', 'Estado', 'Rio', 'Janeiro', 'representando', 'Estado', 'cidade', 'Duque', 'Caxias', 'responsabilidade', 'chegar', 'casa', 'olhar', 'filhos', 'família', 'Presidente', 'quero', 'olhar', 'filhos', 'Gabriel', 'Alice', 'construir', 'futuro', 'melhor', 'encher', 'esperança', 'Fora', 'Dilma', 'Fora', 'PT']"
Benedita da Silva,"['Presidente', 'nome', 'Constituição', 'comprometi', 'cumprir', 'nome', 'respeito', 'nome', 'pobres', 'necessitados', 'deste', 'País', 'respeito', '54', 'milhões', 'votos', 'concedidos', 'povo', 'brasileiro', 'Presidenta', 'Dilma', 'nome', 'ainda', 'têm', 'fome', 'sede', 'justiça', 'entendendo', 'reino', 'dividido', 'prospera', 'quero', 'dizer', 'golpe']"
Cabo Daciolo,"['Glória', 'Deus', 'Presidente', 'todos', 'ouviram', 'falar', 'Fora', 'Dilma', 'Fora', 'Michel', 'Temer', 'Fora', 'Eduardo', 'Cunha', 'Fora', 'Rede', 'Globo', 'mentirosa', 'fica', 'difamando', 'pessoas', 'Vocês', 'podem', 'ser', 'grandes', 'olhos', 'homem', 'Deus', 'pequenininhos', 'Em', 'nome', 'Senhor', 'Jesus', 'profetizo', 'queda', 'senhores', 'partir', 'hoje', 'venho', 'dizer', 'militares', 'Forças', 'Armadas', 'sendo', 'sucateados', 'anos', 'militares', 'segurança', 'pública', 'morrendo', 'todos', 'dias', 'militares', 'agora', 'inativos', 'pensionistas', 'salário', 'Fora', 'Pezão', 'Fora', 'Dornelles', 'Chega', 'corrupção', 'Glória', 'Deus', 'Feliz', 'nação', 'cujo', 'Deus', 'Senhor']"
Celso Pansera,"['necessário', 'mantenha', 'coerência', 'acreditamos', 'defendemos', 'toda', 'vida', 'necessário', 'manter', 'esperança', 'daqueles', 'ainda', 'esperam', 'ter', 'casa', 'própria', 'Minha', 'Casa', 'Minha', 'Vida', 'milhares', 'famílias', 'Baixada', 'Fluminense', 'dependem', 'Bolsa', 'Família', 'Em', 'homenagem', 'centenas', 'amigos', 'professores', 'pesquisadores', 'têm', 'enviado', 'mensagens', 'mim', 'últimos', 'dias', 'pedalada', 'fiscal', 'crime']"
Chico Alencar,"['Contra', 'hipocrisia', 'faz', 'corruptos', 'tornarem', 'arautos', 'moralidade', 'pública', 'palmas', 'contra', 'condutor', 'ilegítimo', 'dessa', 'farsa', 'ali', 'sentado', 'Presidência', 'Mesa', 'Câmara', 'reforma', 'política', 'radical', 'participação', 'popular', 'tire', 'poder', 'grana', 'sistema', 'degenerado', 'direitos', 'população', 'povo', 'luta', 'terra', 'trabalho', 'dignidade', 'Contra', 'processo', 'farsa', 'Quero', 'falar', 'Não', 'demagogia', 'mentira', 'escalada', 'reacionária']"
Chico D'Angelo,"['Em', 'defesa', 'democracia', 'Constituição', 'mandato', 'Presidenta', 'Dilma', 'mulher', 'honesta', 'correta', 'legitimamente', 'eleita', 'cometeu', 'nenhum', 'crime', 'contra', 'golpe']"
Cristiane Brasil,"['Presidente', 'obrigada', 'permitir', 'todo', 'povo', 'brasileiro', 'data', 'vivendo', 'hoje', 'Há', '11', 'anos', 'pai', 'perdeu', 'mandato', 'porque', 'disse', 'verdade', 'muitos', 'disseram', 'falando', 'mentira', 'Portanto', 'hoje', 'homenagem', 'pai', 'Roberto', 'Jefferson', 'verdade', 'democracia']"
Deley,"['Presidente', 'observando', 'nesses', 'quatro', 'mandatos', 'intolerância', 'ódio', 'vezes', 'falta', 'respeito', 'vi', 'nesta', 'Casa', 'lembrei-me', 'frase', 'época', 'ainda', 'jogava', 'futebol', 'engano', 'Tancredo', 'Neves', 'Briguem', 'ideias', 'briguem', 'homens', 'Que', 'dia', 'possa', 'terminar', 'bem', 'Presidente']"
Dr. João,"['Presidente', 'golpista', 'fascista', 'Estou', 'votando', 'nome', 'Estado', 'Rio', 'Janeiro', 'cidade', 'São', 'João', 'Meriti', 'família', 'eleitores', 'País', 'Que', 'Deus', 'abençoe', 'Voto', 'impeachment']"
Eduardo Cunha,"['Que', 'Deus', 'misericórdia', 'desta', 'Nação', 'Voto']"
Ezequiel Teixeira,"['Presidente', 'parafraseando', 'pastor', 'Martin', 'Luther', 'King', 'ainda', 'gostaríamos', 'ser', 'Não', 'sabemos', 'quanto', 'tempo', 'gostaríamos', 'ser', 'Mas', 'coisa', 'certa', 'nunca', 'mesmos', 'quero', 'homenagear', '50', 'milhões', 'evangélicos', 'Nação', 'Cara', 'Leão', 'querida', 'família', 'esposa', 'Márcia', 'Teixeira', 'filhos', 'Diego', 'Tati', 'Teixeira', 'tempo', 'novo', 'contra', 'corrupção', 'Voto', 'impeachment']"
Felipe Bornier,"['Pelo', 'futuro', 'filho', 'País', 'Estado', 'Rio', 'Janeiro', 'orgulho', 'representar', 'Câmara', 'Deputados', 'eleitores', 'noroeste', 'fluminense', 'querida', 'Baixada', 'Fluminense', 'maravilhosa', 'cidade', 'Nova', 'Iguaçu', 'amo', 'orgulho', 'representar', 'nesta', 'Casa', '10', 'milhões', 'brasileiros', 'hoje', 'desempregados', 'impedimento', 'Presidente', 'República']"
Fernando Jordão,"['Presidente', 'todas', 'cidades', 'Rio', 'Janeiro', 'eleitor', 'colocou', 'trabalhador', 'desempregado', 'família', 'digo', 'verde', 'mar', 'oh', 'Angra', 'Reis', 'luz', 'luar', 'oh', 'Angra', 'Reis', 'brilho', 'sol', 'oh', 'Angra', 'Reis', 'Sim', 'impeachment', 'Dilma']"
Francisco Floriano,"['Muito', 'obrigado', 'Presidente', 'Eduardo', 'Cunha', 'Parabéns', 'Relator', 'parabéns', 'Mesa', 'presente', 'todo', 'povo', 'brasileiro', 'parabéns', 'todo', 'povo', 'Av', 'Atlântica', 'cidade', 'linda', 'mundo', 'Rio', 'Janeiro', 'Um', 'abraço', 'Av', 'Atlântica', 'quero', 'dizer', 'todos', 'chega', 'momento', 'valer', 'Constituição', 'valer', 'Regimento', 'Casa', 'De', 'dar', 'demonstração', 'nesta', 'tarde', 'ouvir', 'sintonia', 'vozes', 'ruas', 'Então', 'Estado', 'Democrático', 'filho', 'Matheus', 'Floriano', 'filha', 'Nathália', 'neto', 'Lucca', 'criança', 'Presidente', 'desde', 'Estado', 'Varre-Sai', 'Paraty', 'País', 'Oiapoque', 'Chuí']"
Glauber Braga,"['Eduardo', 'Cunha', 'gângster', 'dá', 'sustentação', 'cadeira', 'cheira', 'enxofre', 'nunca', 'escolheram', 'lado', 'fácil', 'história', 'Marighella', 'Plínio', 'Arruda', 'Sampaio', 'Evandro', 'Lins', 'Silva', 'Arraes', 'Luís', 'Carlos', 'Prestes', 'Olga', 'Benário', 'Brizola', 'Darcy', 'Ribeiro', 'Zumbi', 'Palmares']"
Hugo Leal,"['Presidente', 'gostaria', 'lembrar', 'todos', 'brasileiros', 'brasileiras', 'ainda', 'País', 'responsabilidades', 'espera', 'Nós', 'podemos', 'esquecer', 'nesta', 'sessão', 'especial', 'quero', 'fazer', 'homenagem', 'póstuma', 'saudoso', 'Eduardo', 'Campos', 'partido', 'filiado', 'Nós', 'vamos', 'desistir', 'Presidente']"
Indio da Costa,"['Presidente', 'disputei', 'eleição', '2010', 'Vice', 'José', 'Serra', 'contra', 'Dilma', 'Rousseff', 'contra', 'PT', 'Na', 'época', 'denunciei', 'corrupção', 'Hoje', 'falta', 'saúde', 'educação', 'segurança', 'pública', 'falta', 'emprego', 'Fui', 'Relator', 'Lei', 'Ficha', 'Limpa', 'trabalhei', 'aprová-la', 'nesta', 'Casa', 'Não', 'poderia', 'votar', 'diferente', 'Votarei', 'favor', 'cariocas', 'brasileiros', 'Votarei', 'impeachment', 'Presidente', 'Dilma']"
Jair Bolsonaro,"['Neste', 'dia', 'glória', 'povo', 'brasileiro', 'nome', 'entrará', 'história', 'nesta', 'data', 'forma', 'conduziu', 'trabalhos', 'desta', 'Casa', 'Parabéns', 'Presidente', 'Eduardo', 'Cunha', 'Perderam', '1964', 'Perderam', 'agora', '2016', 'Pela', 'família', 'inocência', 'crianças', 'sala', 'aula', 'PT', 'nunca', '...', 'Contra', 'comunismo', 'liberdade', 'contra', 'Folha', 'S.Paulo', 'memória', 'Cel', 'Carlos', 'Alberto', 'Brilhante', 'Ustra', 'pavor', 'Dilma', 'Rousseff', 'Pelo', 'Exército', 'Caxias', 'Forças', 'Armadas', 'acima', 'tudo', 'Deus', 'acima', 'todos']"
Jandira Feghali,"['Primeiro', 'quero', 'registrar', 'indignação', 'Deputado', 'Eduardo', 'Cunha', 'ainda', 'vê-lo', 'sentado', 'nessa', 'cadeira', 'reunir', 'condições', 'morais', 'Segundo', 'registro', 'indignação', 'vê-lo', 'abraçado', 'traidor', 'democracia', 'tenta', 'usurpar', 'cadeira', 'Presidente', 'Michel', 'Temer', 'tal', 'Terceiro', 'quero', 'expressar', 'ficou', 'claro', 'sociedade', 'brasileira', 'aliança', 'impeachmentque', 'reúne', 'corruptos', 'torturadores', 'Jair', 'Bolsonaro', 'traidores', 'Pátria', 'Em', 'respeito', 'trabalhadores', 'usam', 'vermelho', 'luta', 'bandeira', 'trabalhadores', 'campo', 'cidade', 'ruas', 'sacrifício', 'convicção', 'vou', 'dizer', 'luta', 'apenas', 'começou', 'Em', 'respeito', 'democracia', 'Constituição', 'crime', 'Presidente', 'Dilma', 'honesta', 'Não', 'crime', 'Portanto', 'golpe', 'Contra', 'golpe']"
Jean Wyllys,"['Em', 'primeiro', 'lugar', 'quero', 'dizer', 'constrangido', 'participar', 'dessa', 'farsa', 'sexista', 'dessa', 'eleição', 'indireta', 'conduzida', 'ladrão', 'urdida', 'traidor', 'conspirador', 'apoiada', 'torturados', 'covardes', 'analfabetos', 'políticos', 'vendidos', 'Em', 'nome', 'direitos', 'população', 'LGBT', 'povo', 'negro', 'exterminado', 'periferias', 'trabalhadores', 'cultura', 'sem-teto', 'sem-terra', 'golpe', 'durmam', 'canalhas']"
Julio Lopes,"['Deputados', 'queria', 'primeiro', 'dar', 'afetuoso', 'abraço', 'cada', 'cidadão', 'cada', 'cidadã', 'Estado', 'Rio', 'Janeiro', 'difícil', 'momento', 'atravessa', 'economia', 'Estado', 'Presidente', 'Deputado', 'Eduardo', 'Cunha', 'Deputados', 'quero', 'dirigir', 'Deputado', 'José', 'Guimarães', 'perguntou', 'raiva', 'Presidente', 'Dilma', 'Rousseff', 'quero', 'dizer', 'respeito', 'contrários', 'Deputado', 'Glauber', 'Braga', 'quanto', 'Presidente', 'Dilma', 'pena', 'ter', 'entendido', 'vale', 'pena', 'insistir', 'empreendedorismo', 'insistir', 'cada', 'cidadão', 'cada', 'cidadã', 'construa', 'própria', 'vida', 'fazer', 'assistencialismo', 'populismo', 'assaltou', 'Por', 'Presidente', 'povo', 'Estado', 'povo', 'Rio', 'janeiro', 'impeachment']"
Leonardo Picciani,"['Presidente', 'quero', 'fazer', 'dois', 'registros', 'Deputado', 'Aníbal', 'Gomes', 'submetido', 'grave', 'cirurgia', 'encontra', 'UTI', 'Por', 'razão', 'presente', 'sessão', 'Também', 'quero', 'registrar', 'nome', 'cinco', 'Deputados', 'PMDB', 'Rio', 'Janeiro', 'razão', 'retorno', 'titulares', 'semana', 'razão', 'votando', 'São', 'Deputado', 'Marquinho', 'Mendes', 'Deputado', 'Celso', 'Jacob', 'Deputada', 'Laura', 'Carneiro', 'Deputado', 'Zé', 'Augusto', 'Nalin', 'Deputado', 'Wilson', 'Beserra', 'Presidente', 'quatro', 'mandatos', 'tomei', 'posse', 'nesta', 'Casa', 'jurei', 'cumprir', 'Constituição']"
Luiz Carlos Ramos,"['Pelos', 'moradores', 'rua', 'dormem', 'rua', 'nascem', 'rua', 'morrem', 'rua', 'programa', 'social', 'governo', 'Zona', 'Oeste', 'Rio', 'Prata', 'Bangu', 'onde', 'morei', '33', 'anos', 'Campo', 'Grande', 'moro', '31', 'anos', 'vendedores', 'têm', 'profissão', 'detalhada', 'opção', 'mercado']"
Luiz Sérgio,"['Presidente', 'primeiro', 'quero', 'deixar', 'registrado', 'nunca', 'vida', 'espaço', 'tão', 'curto', 'ouvi', 'tantas', 'vezes', 'nome', 'Deus', 'ser', 'usado', 'vão', 'panfleto', 'Em', 'segundo', 'lugar', 'respeito', 'popular', 'respeito', 'democracia', 'Presidente', 'Golpe']"
Marcelo Matos,"['Presidente', 'nome', 'família', 'Estado', 'Município', 'São', 'João', 'Meriti', 'daquele', 'povo', 'acredita', 'Governo', 'Federal', 'acredita', 'mandato', 'nome', 'Baixada', 'Fluminense', 'quero', 'dizer']"
Marco Antônio Cabral,"['Presidente', 'Estado', 'Rio', 'Janeiro', 'democracia']"
Marcos Soares,"['Presidente', 'Rio', 'Janeiro', 'contra', 'Governo', 'sempre', 'tentou', 'destruir', 'família', 'Agora', 'oportunidade', 'votar', 'Sim', 'impeachment']"
Miro Teixeira,"['Presidente', 'porém', 'peço', 'licença', 'companheiros', 'apresentar', 'divergência', 'relação', 'fundamentações', 'Nós', 'queremos', 'confrontos', 'nenhuma', 'espécie', 'vamos', 'intimidar', 'ameaças', 'ouvimos', 'longo', 'semanas', 'Saberemos', 'enfrentá-las', 'Não', 'desejamos', 'saberemos', 'enfrentá-las', 'vencê-las', 'Hoje', 'vou', 'decidir', 'sobre', 'processo', 'pauta', 'cuida', 'processo', 'processo', 'admissibilidade', 'impeachment', 'Dilma', 'Rousseff', 'Não', 'adianta', 'tergiversar', 'repito', 'pedindo', 'licença', 'divergir', 'reconhecendo', 'direito', 'todos', 'falarem', 'bem', 'quiser', 'Hoje', 'processo', 'Dilma', 'Rousseff', 'Aqui', 'julgar', 'mensalão', 'inclusive', 'começar', 'voltar', 'tempo', 'ver', 'começou', 'Quanto', 'maior', 'provocações', 'voltaremos', 'tempo', 'Vamos', 'ver', 'petrolão', 'porque', 'processo', 'contra', 'Dilma', 'Rousseff', 'permitirá', 'fortalecer', 'Lava-Jato', 'aprofundar', 'investigações', 'petrolão', 'Ninguém', 'medo', 'ninguém']"
Otavio Leite,"['Em', 'primeiro', 'lugar', 'queria', 'deixar', 'claro', 'assim', 'grande', 'brasileiro', 'Juscelino', 'Kubitschek', 'Oliveira', 'creio', 'vitória', 'final', 'inexorável', 'nação', 'Em', 'nome', 'daqueles', 'ruas', 'Rio', 'Janeiro', 'nome', 'povo', 'Rio', 'Janeiro', 'defesa', 'futuro', 'esperança', 'novas', 'gerações', 'impedimento', 'Dilma', 'Lana', 'Rousseff']"
Paulo Feijó,"['Presidente', 'respeito', 'norte', 'noroeste', 'Estado', 'Rio', 'respeito', 'àminha', 'querida', 'Campos', 'Goytacazes', 'festa', 'São', 'Francisco', 'Itabapoana', 'Bom', 'Jesus', 'Itabapoana', 'Santa', 'Maria', 'Madalena', 'família', 'ferroviários']"
Pedro Paulo,"['Senhoras', 'senhores', 'todo', 'esperança', 'ver', 'País', 'sair', 'crise', 'preciso', 'mudar', 'Pelo', 'Rio', 'Janeiro']"
Roberto Sales,"['Presidente', 'unidade', 'PRB', 'família', 'nenhum', 'governo', 'levantar', 'contra', 'Nação', 'Israel', 'São', 'Gonçalo', 'leste', 'fluminense', 'Rio', 'Janeiro']"
Rodrigo Maia,"['Presidente', 'V.Exa', 'entra', 'história', 'hoje', 'Pela', 'família', 'principalmente', 'pai', 'Cesar', 'Maia', 'Prefeito', 'Rio', 'atropelado', 'Governo', 'PT', 'PT', 'rasga', 'Constituição', 'Rio', 'Janeiro', 'rasga', 'Constituição']"
Rosangela Gomes,"['Presidente', 'retomada', 'economia', 'brasileira', 'todos', 'funcionários', 'públicos', 'aposentados', 'Estado', 'Rio', 'Janeiro', 'fim', 'violência', 'Baixada', 'Fluminense', 'cidade', 'Nova', 'Iguaçu', 'contra', 'saúde', 'ruim', 'contra', 'desenvolvimento', 'horrível', 'Partido', 'Republicano', 'Brasileiro', 'Muito', 'obrigada']"
Sergio Zveiter,"['Pela', 'responsabilidade', 'votar', 'hoje', 'advogado', 'duas', 'vezes', 'Presidente', 'OAB', 'representando', 'Estado', 'Rio', 'Janeiro', 'estudei', 'processo', 'posso', 'afirmar', 'medo', 'errar', 'parecer', 'Relator', 'acordo', 'Constituição', 'leis', 'regulam', 'impeachment', 'Regimento', 'Interno', 'desta', 'Casa', 'Por', 'prosseguimento', 'processo']"
Simão Sessim,"['Presidente', 'saudando', 'pessoas', 'Capital', 'demais', 'cidades', 'Estado', 'Rio', 'Janeiro', 'ruas', 'apoiar', 'movimento', 'paz', 'tranquilidade', 'crescimento', 'Nação', 'brasileira', 'deram', 'dez', 'mandatos', 'consecutivos', 'nesta', 'Casa', 'fazendo', 'história', 'família', 'filhos', 'Sérgio', 'Marcelo', 'noras', 'netos', 'querida', 'Baixada', 'Fluminense', 'querida', 'cidade', 'Nilópolis', 'velha', 'Nilópolis', 'tudo', 'impeachment']"
Soraya Santos,"['Presidente', 'acreditar', 'política', 'ética', 'responsabilidade', 'devem', 'caminhar', 'juntas', 'andar', 'afora', 'ver', 'milhões', 'brasileiros', 'ruas', 'vestindo', 'verde-amarelo', 'forma', 'pacífica', 'ordeira', 'mostrando', 'filhos', 'fogem', 'luta', 'precisam', 'invadir', 'casa', 'ninguém', 'precisam', 'quebrar', 'ônibus', 'nenhum', 'pedindo', 'união', 'pregando', 'esperança', 'melhor', 'família', 'neste', 'momento', 'faço', 'representar', 'netos', 'Arthur', 'Sofia', 'nova', 'caçula', 'chegando', 'quero', 'dizer', 'brasileiros', 'cidade', 'Niterói', 'Estado', 'Rio', 'Janeiro', 'Impeachment']"
Sóstenes Cavalcante,"['negociata', 'velha', 'política', 'impediu', 'suplente', 'partido', 'DEM', 'Marcelo', 'Delaroli', 'votar', 'hoje', 'Por', 'Marcelo', 'evangélicos', 'Estado', 'movimentos', 'sociais', 'Movimento', 'Livre', '—MBL', 'Vem', 'Pra', 'Rua', 'Revoltados', 'Online', 'todos', 'outros', 'ocuparam', 'ruas', 'deste', 'País', 'País', 'altivo', 'livre', 'corrupção', 'todos', 'Lula', 'Dilma', 'cadeia', 'impeachment', 'Presidente']"
Wadih Damous,"['Presidente', 'homenagem', 'milhares', 'advogados', 'juristas', 'deste', 'País', 'apontaram', 'relatório', 'farsa', 'instrumento', 'golpe', 'homenagem', 'povo', 'trabalhador', 'hoje', 'ruas', 'resistindo', 'contra', 'golpe', 'dando', 'razão', 'V.Exa', 'pediu', 'Deus', 'misericórdia', 'deste', 'País', 'ter', 'porque', 'V.Exa', 'chefe', 'corrupção', 'neste', 'País', 'presidindo', 'tribunal', 'vai', 'julgar', 'mulher', 'honrada', 'iluda', 'Presidente', 'sorrisinho', 'V.Exa', 'bola', 'vez', 'Supremo', 'Tribunal', 'Federal']"
Washington Reis,"['Presidente', 'partir', 'amanhã', 'segunda-feira', 'Deus', 'possa', 'derramar', 'muitas', 'bênçãos', 'sobre', 'sobre', 'povo', 'brasileiro', 'Presidente', 'favor']"
Carlos Manato,"['Presidente', 'homenagem', 'querida', 'Alegre', 'Região', 'Caparaó', '3,5', 'milhões', 'capixabas', '78', 'Municípios', '50', 'mil', 'pessoas', 'movimento', 'Vem', 'Pra', 'Rua', 'Praça', 'Papa', 'ex-Presidenta', 'Dilma', 'férias', 'eternas', 'digo', 'Presidente']"
Dr. Jorge Silva,"['Presidente', 'respeito', 'Constituição', 'respeito', 'àgrande', 'maioria', 'população', 'querida', 'cidade', 'São', 'Mateus', 'respeito', 'grande', 'maioria', 'população', 'norte', 'Estado', 'Espírito', 'Santo', 'respeito', 'grande', 'maioria', 'população', 'capixaba', 'País', 'encontre', 'novamente', 'rumo', 'desenvolvimento', 'Presidente']"
Evair de Melo,"['Deputados', 'capixabas', 'nunca', 'legitimaram', 'Governo', 'Este', 'Governo', 'aumentar', 'maldade', 'abandonou', 'capixabas', 'rodovias', 'portos', 'aeroportos', 'Então', 'tudo', 'Deputados', 'família', 'especial', 'filho', 'Arthur', 'filha', 'Sarah', 'agricultura', 'agricultores', 'Espírito', 'Santo', 'cooperativismo', 'indústria', 'abandonada', 'Governo', 'ciência', 'tecnologia', 'maioria', 'esmagadora', 'capixabas', 'Espírito', 'Santo']"
Givaldo Vieira,"['coragem', 'daqueles', 'resistiram', 'Golpe', '1964', 'dor', 'sangue', 'própria', 'vida', 'devolveu', 'geração', 'tão', 'sonhada', 'liberdade', 'Em', 'homenagem', 'lutadores', 'democracia', 'recuso', 'entregar', 'País', 'mãos', 'golpistas', 'mãos', 'traidores', 'mãos', 'corruptos', 'armaram', 'farsa', 'comandam', 'Em', 'homenagem', 'milhões', 'lutadores', 'hoje', 'lutam', 'cansarão', 'lutar', 'democracia', 'amor', 'Pátria']"
Helder Salomão,"['Não', 'posso', 'concordar', 'Deputado', 'Eduardo', 'Cunha', 'presida', 'sessão', 'Isso', 'absurdo', 'Ele', 'moral', 'política', 'ética', 'estar', 'Mas', 'dia', 'tomei', 'posse', 'fiz', 'juramento', 'Jurei', 'defender', 'respeitar', 'Constituição', 'Jurei', 'defender', 'democracia', 'Por', 'golpe']"
Lelo Coimbra,"['Presidente', 'homenagem', 'resposta', 'milhares', 'brasileiros', 'ruas', 'País', 'Estado', 'Espírito', 'Santo', 'cidades', 'Estado', 'especial', 'querida', 'Vitória', 'cobram', 'exigem', 'chamam', 'responder', 'afirmativamente', 'contra', 'corrupção', 'chamam', 'responder', 'afirmativamente', 'restauro', 'economia', 'chamam', 'responsabilizar', 'longo', 'desses', 'anos', 'inviabilizou', 'economia', 'precisamos', 'responsabilizar', 'Presidente', 'neste', 'momento', 'ato', 'praticando', 'ato', 'resposta', 'resposta']"
Marcus Vicente,"['Presidente', 'respeito', 'famílias', 'brasileiras', 'respeito', 'querido', 'Espírito', 'Santo', 'respeito', 'cidade', 'natal', 'Ibiraçu', 'amigos', 'toda', 'família', 'impeachment']"
Max Filho,"['Presidente', 'Deputados', 'homenagem', 'princípios', 'Constituição', 'Federal', 'legalidade', 'impessoalidade', 'sobretudo', 'moralidade', 'publicidade', 'eficiência']"
Paulo Foletto,"['Presidente', 'nome', 'querida', 'cidade', 'Colatina', 'todos', 'filhos', 'solo', 'capixaba', 'noroeste', 'capixaba', 'todo', 'Espírito', 'Santo', 'nome', 'Nação', 'brasileira', 'nome', 'filhos', 'Sara', 'Estevão', 'Giordano', 'Donato', 'nome', 'sobrinho', 'toda', 'família', 'todos', 'jovens', 'deste', 'País', 'nome', 'todos', 'nome', 'esperança', 'possamos', 'construir', 'novo', 'Governo', 'diálogo', 'política', 'economia', 'recuperar', 'Nação']"
Sérgio Vidigal,"['Pelo', 'Estado', 'Espírito', 'Santo', 'deu', 'oportunidade', 'ser', 'votado', 'Estado', '161', 'mil', 'votos', 'especialmente', 'Município', 'Serra', 'quero', 'dizer', 'partido', 'PDT', 'fechou', 'questão', 'contra', 'impeachment', 'papel', 'julgador', 'Cabe', 'julgador', 'ser', 'imparcial', 'Pela', 'liberdade', 'inviolável', 'consciência', 'democracia', 'contra', 'corrupção', 'quero', 'dizer', 'nome', 'população', 'capixaba', 'peço', 'desculpa', 'PDT', 'vou', 'ficar', 'Estado', 'Espírito', 'Santo', 'Voto']"
Assis Carvalho,"['Em', 'defesa', 'Nação', 'Nordeste', 'Piauí', 'cidade', 'Oeiras', 'principalmente', 'combate', 'corrupção', 'representada', 'Eduardo', 'Cunha', 'Michel', 'Temer', 'digo', 'corrupção', 'ridícula', 'envergonha', 'País', 'Logo', 'logo', 'Eduardo', 'Cunha', 'V.Exa', 'estará', 'pagando', 'detrás', 'grades', 'mal', 'faz', 'mundo']"
Átila Lira,"['Presidente', 'Parlamentares', 'éum', 'momento', 'creio', 'difícil', 'todos', 'decisão', 'renovação', 'esperanças', 'País', 'todos', 'Pelo', 'Estado', 'Piauí', 'País', 'vamos', 'desistir']"
Capitão Fábio Abreu,"['De', 'acordo', 'convicções', 'defesa', 'leis', 'deste', 'País']"
Heráclito Fortes,"['Presidente', 'quero', 'deixar', 'abraço', 'mulher', 'Mariana', 'filhas', 'Marianinha', 'Heloísa', 'Camila', 'netos', 'Antônio', 'João', 'neta', 'vir', 'Olímpia', 'irmã', 'Zélia', 'Tia', 'Elzamir', '96', 'anos', 'Esse', 'pessoal', 'sabe', 'sofri', 'mãos', 'PT', '2010', 'agora.O', 'vou', 'dar', 'rancor', 'lógica', 'futuro', 'vou', 'dar', 'exigindo', 'nome', 'ruas', 'Portanto']"
Iracema Portella,"['Exclusivamente', 'orientação', 'partidária', 'sentimento', 'tristeza']"
Júlio César,"['Presidente', 'Deputados', 'contra', 'desajuste', 'contas', 'públicas', 'contra', 'aumento', 'inflação', 'contra', 'desemprego', 'favor', '10', 'milhões', 'desempregados', 'País', 'defesa', '5.570', 'Municípios', 'restabelecer', 'esperança', 'povo', 'Piauí', 'povo', 'brasileiro', 'Presidente']"
Marcelo Castro,"['ras', 'Deputados', 'hoje', 'eleição', 'indireta', 'processo', 'impeachment', 'Presidente', 'República', 'País', 'presidencialista', 'Para', 'pressupõe-se', 'crime', 'responsabilidade', 'Presidenta', 'Dilma', 'matou', 'roubou', 'contas', 'exterior', 'descumpriu', 'nenhuma', 'lei', 'País', 'Ela', 'pessoa', 'digna', 'honesta', 'honrada', 'Não', 'crime', 'responsabilidade', 'hácrime', 'nenhum', 'Todo', 'processo', 'artificial', 'forjado', 'falso', 'Por', 'contra']"
Paes Landim,"['Presidente', 'desculpe-me', 'grande', 'maioria', 'limitados', 'conhecimentos', 'jurídicos', 'convenceram', 'existência', 'crime', 'responsabilidade', 'parte', 'Presidente', 'razão']"
Rejane Dias,"['Presidente', 'demais', 'Deputados', 'Deputadas', 'presentes', 'primeiro', 'lugar', 'oro', 'Deus', 'abençoe', 'querida', 'Nação', 'Em', 'segundo', 'lugar', 'desenvolvimento', 'querido', 'Estado', 'Piauí', 'democracia', 'Estado', 'Democrático', 'Direito', 'respeito', 'milhares', 'milhares', 'brasileiros', 'brasileiras', 'votaram', 'Dilma', 'elegendo-a', 'primeira', 'Presidenta', 'mulher']"
Rodrigo Martins,"['Pelo', 'Estado', 'Piauí', 'futuro', 'povo', 'especial', 'piauienses', 'cidade', 'Teresina', 'respeito', 'todos', 'homens', 'mulheres', 'bem', 'lutando', 'ruas', 'melhor', 'futuro', 'filhas', 'Maria', 'Luísa', 'Ana', 'Maria', 'impeachment']"
Antônio Jácome,"['Presidente', 'nunca', 'tão', 'atual', 'palavra', 'bíblica', 'diz', 'povo', 'chama', 'nome', 'humilhar', 'orar', 'buscar', 'face', 'converter', 'maus', 'caminhos', 'então', 'ouvirei', 'céus', 'perdoarei', 'pecados', 'sararei', 'terra', 'Por', 'nova', 'ordem', 'política', 'fim', 'corrupção', 'irmãos', 'brasileiros', 'irmãos', 'norte-rio-grandenses', 'homenagem', 'memória', 'pai', 'saudosa', 'irmã', 'Ozanide']"
