Deputado,Fala
Diego Garcia,"['Presidente', 'eleito', 'paranaenses', 'acreditam', 'resgate', 'moralidade', 'política', 'Fui', 'eleito', 'projeto', 'fé', 'política', 'renovação', 'carismática', 'católica', 'Estado', 'Paraná', 'Pela', 'família', 'filha', 'esposa', 'povo', 'Paraná', 'orgulho', 'dizer', 'terra', 'Lava-Jato', 'avante', 'Polícia', 'Federal', 'Sim', 'impeachment']"
Dilceu Sperafico,"['Pela', 'família', 'querida', 'cidade', 'Toledo', 'Estado', 'Paraná', 'agricultores', 'fazendo', 'País', 'ainda', 'possa', 'andar']"
Enio Verri,"['Presidente', 'respeito', '200', 'milhões', 'habitantes', 'deste', 'País', 'lutaram', 'morreram', 'democracia', 'neste', 'momento', 'querem', 'transformar', 'Casa', 'colégio', 'eleitoral', 'aplicando', 'golpe', 'Constituição', 'respeito', 'trabalhadores']"
Evandro Roman,"['Pelo', 'Paraná', 'Estado', 'tão', 'maltratado', 'Governo', 'querida', 'Céu', 'Azul', 'região', 'Oeste', 'Estado', 'Paraná', 'Cascavel']"
Fernando Francischini,"['Presidente', 'Delegado', 'Polícia', 'Federal', 'vai', 'fim', 'facção', 'criminosa', 'lulopetista', 'fim', 'pelegagem', 'CUT', 'fim', 'CUT', 'marginais', 'Viva', 'Lava-Jato', 'República', 'Curitiba', 'bandeira', 'nunca', 'vermelha', 'Sim', 'Presidente']"
Giacobo,['Presidente']
Hermes Parcianello,"['Presidente', 'sinto', 'cheiro', 'mesmas', 'aves', 'rapina', '54', 'levaram', 'Getúlio', 'suicídio', 'força', 'Cascavel', 'Oeste', 'Paraná', 'Noroeste', 'Campos', 'Gerais', 'eleitores', '150', 'mil', 'eleitores', 'povo', 'Paraná']"
João Arruda,"['Presidente', 'processo', 'jurídico', 'político', 'Pesou', 'vontade', 'paranaenses', 'partido', 'Pela', 'admissibilidade', 'processo', 'continua', 'julgado', 'Senado', 'Federal']"
Leandre,"['Hoje', 'dia', 'vai', 'reencontrar', 'esperança', 'Pelo', 'povo', 'Paraná', 'brasileiros', 'queremos']"
Leopoldo Meyer,"['povo', 'Paraná', 'pede', 'Espero', 'continuemos', 'ouvir', 'voz', 'ruas']"
Luciano Ducci,"['Pelos', 'paranaenses', 'curitibanos', 'País', 'justo', 'decente', 'vamos', 'desistir', 'Impeachment', 'Viva', 'Viva', 'Curitiba']"
Luiz Carlos Hauly,"['Em', 'nome', 'povo', 'brasileiro', 'amor', 'País', 'paranaenses', 'Curitiba', 'Londrina', 'Cambé', 'Rolândia', 'Arapongas', 'Ibiporã', 'base', 'eleitoral', 'sabendo', 'Governo', 'maioria', 'Parlamento', 'qualquer', 'Parlamento', 'mundo', 'maioria', 'terço', 'governar', 'Na', 'Europa', 'troca-se', 'Governo', 'maioria', 'Pelos', 'crimes', 'responsabilidade', 'lesa-pátria', 'cometidos', 'Presidente', 'Dilma']"
